yahoo_symbol,broker_symbol,tradingsymbol,exchange
RELIANCE.NS,NSE:RELIANCE,RELIANCE,NSE
TCS.NS,NSE:TCS,TCS,NSE
INFY.NS,NSE:INFY,INFY,NSE
HDFCBANK.NS,NSE:HDFCBANK,HDFCBANK,NSE
ICICIBANK.NS,NSE:ICICIBANK,ICICIBANK,NSE
SBIN.NS,NSE:SBIN,SBIN,NSE
AXISBANK.NS,NSE:AXISBANK,AXISBANK,NSE
KOTAKBANK.NS,NSE:KOTAKBANK,KOTAKBANK,NSE
LT.NS,NSE:LT,LT,NSE
ITC.NS,NSE:ITC,ITC,NSE
HINDUNILVR.NS,NSE:HINDUNILVR,HINDUNILVR,NSE
BHARTIARTL.NS,NSE:BHARTIARTL,BHARTIARTL,NSE
BAJFINANCE.NS,NSE:BAJFINANCE,BAJFINANCE,NSE
ADANIGREEN.NS,NSE:ADANIGREEN,ADANIGREEN,NSE
ADANIPORTS.NS,NSE:ADANIPORTS,ADANIPORTS,NSE
ASIANPAINT.NS,NSE:ASIANPAINT,ASIANPAINT,NSE
SUNPHARMA.NS,NSE:SUNPHARMA,SUNPHARMA,NSE
MARUTI.NS,NSE:MARUTI,MARUTI,NSE
TITAN.NS,NSE:TITAN,TITAN,NSE
ULTRACEMCO.NS,NSE:ULTRACEMCO,ULTRACEMCO,NSE
